instances,CS_Default,Insert,Merge
1860,0.3677,9.1317,1.3343
1870,0.3711,9.3999,0.7946
1880,0.3701,9.6043,0.7811
1890,0.3833,9.3754,0.7872
1900,0.3756,9.6312,0.7824
1910,0.3759,10.0473,0.7918
1920,0.3797,10.4665,0.7842
1930,0.3791,10.7292,1.1967
1940,0.3842,10.7077,0.8059
1950,0.3884,10.4586,0.819
1960,0.4106,10.2085,0.8311
1970,0.389,10.3777,0.8071
1980,0.3894,10.5594,0.8334
1990,0.3909,10.598,0.8202
2000,0.3981,10.253,0.8338
2010,0.4035,11.1912,0.8741
2020,0.4107,10.7559,0.84
2030,0.403,11.7844,0.85
2040,0.4156,11.8914,0.8709
2050,0.4059,11.1851,0.8416
2060,0.4107,11.5385,0.8582
2070,0.421,11.679,0.889
2080,0.4124,11.4852,0.888
2090,0.4247,11.6337,0.9266
2100,0.425,12.2073,0.8896
2110,0.4238,11.7631,0.914
2120,0.4522,12.4131,0.9009
2130,0.4263,12.0279,0.8891
2140,0.4302,12.5557,0.8899
2150,0.4536,12.5243,0.8951
2160,0.4311,13.0383,0.9125
2170,0.4372,13.2954,0.9172
2180,0.4435,12.849,0.9325
2190,0.4398,13.0677,0.9364
2200,0.4397,13.1133,0.9217
2210,0.4478,13.3805,0.9387
2220,0.4555,14.6031,0.9487
2230,0.4818,13.5487,0.9355
2240,0.4466,13.8584,0.9722
2250,0.4526,13.8757,0.9721
2260,0.4552,13.7592,0.9874
2270,0.4659,13.8834,0.9688
2280,0.4658,17.7308,0.9568
2290,0.4721,14.4494,0.9579
2300,0.4717,14.3301,0.9677
2310,0.4627,14.2548,0.9716
2320,0.4835,14.7299,0.9836
2330,0.4757,14.713,0.9774
2340,0.4681,15.0191,0.9875
2350,0.4851,15.5596,0.9874
2360,0.5183,15.0398,1.0031
2370,0.4941,15.4103,1.0026
2380,0.478,15.3966,1.0115
2390,0.4837,15.8853,1.0168
2400,0.486,15.7079,1.0184
2410,0.4909,16.0719,1.0413
2420,0.4856,16.2632,4.0658
2430,0.4911,16.2656,2.1323
2440,0.5066,16.459,2.1364
2450,0.5032,16.0586,1.3061
2460,0.5087,16.9062,1.2278
2470,0.4987,16.8504,5.2039
2480,0.5286,17.0312,6.331
2490,0.5008,16.9538,24.9
2500,0.5086,17.3557,1.1257
2510,0.5155,16.982,1.0981
2520,0.5228,17.4472,1.1376
2530,0.5162,18.0425,1.1201
2540,0.5198,17.703,1.1222
2550,0.5188,18.2896,1.129
2560,0.518,18.281,1.1152
2570,0.5168,18.6859,1.1284
2580,0.5235,18.8294,1.1422
2590,0.5302,18.8009,1.1416
2600,0.5238,18.5787,1.1375
