instances,CS_Default,Insert,Merge

500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,
500,0,1100594,

500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
500,0,05420396,
